EvidenceID|Type|Tier|Citation|Locator|GroundedObjects|IndependentOf|Stance|Quality
EV34|Official Standard|Primary|European Union. MiFID II (Directive 2014/65/EU) and MiFIR (Regulation 600/2014) as amended by Regulation (EU) 2024/791 (current); best-execution RTS adopted by the European Commission April 2026, entering into force ~Q2-Q3 2026, applying ~Q4 2027/Q1 2028 (adopted future / pending application).|Reg 2024/791: OJ 8 Mar 2024, in force 28 Mar 2024; RTS adoption/application dates [WEB-VERIFIED]|S08|—|Background — three-way current/adopted/pending-application split, not to be read as the new RTS being presently binding|High
EV16|Journal Paper|Primary|Modigliani, F., Miller, M.H. (1958). The Cost of Capital, Corporation Finance and the Theory of Investment. American Economic Review.|Locator Pending|A01;T05|—|Supports|High
EV17|Journal Paper|Primary|Markowitz, H. (1952). Portfolio Selection. Journal of Finance.|Locator Pending|T03;C01|—|Supports|High
EV18|Book|Primary|Graham, B., Dodd, D. (1934). Security Analysis. McGraw-Hill.|Locator Pending|C08|—|Supports|High
EV19|Book|Primary|Knight, F.H. (1921). Risk, Uncertainty and Profit. Houghton Mifflin.|Locator Pending|C01|—|Supports|High
EV20|Journal Paper|Primary|Black, F., Scholes, M. (1973). The Pricing of Options and Corporate Liabilities. Journal of Political Economy.|Locator Pending|M02|—|Supports|High
EV21|Journal Paper|Primary|Merton, R.C. (1973). Theory of Rational Option Pricing. Bell Journal of Economics and Management Science.|Locator Pending|M02|Yes, co-originator, independent derivation|Supports|High
EV22|Journal Paper|Primary|Stoll, H.R. (1969). The Relationship Between Put and Call Option Prices. Journal of Finance.|Locator Pending|T09|—|Supports|High
EV23|Journal Paper|Primary|Fama, E.F., French, K.R. (1992). The Cross-Section of Expected Stock Returns. Journal of Finance.|Vol 47, Issue 2, pp. 427-465. DOI 10.1111/j.1540-6261.1992.tb04398.x [WEB-VERIFIED]|FA01;T01|Yes, of Sharpe/Lintner (T01); is original for FA01|Supports (FA01) / Contests-Limits (T01, shows flat beta-return relation)|High
EV24|Journal Paper|Secondary|Basu, S. (1977). Investment Performance of Common Stocks in Relation to Their Price-Earnings Ratios. Journal of Finance.|Locator Pending|FA01|Yes, of Fama-French|Supports (earlier related finding)|High
EV25|Journal Paper|Primary|Modigliani, F., Miller, M.H. (1963). Corporate Income Taxes and the Cost of Capital: A Correction. American Economic Review.|Locator Pending|T05|No, same authors as EV16|Supports (self-correction)|High
EV26|Book|Secondary|Brealey, R., Myers, S., Allen, F. (2020). Principles of Corporate Finance, 13th ed. McGraw-Hill.|Locator Pending|FR01|Yes|Background|High
EV27|Journal Paper|Primary|Lutz, F.A. (1940). The Structure of Interest Rates. Quarterly Journal of Economics.|Locator Pending|T06|—|Supports|High
EV28|Official Standard|Primary|CFA Institute. CFA Institute Code of Ethics and Standards of Professional Conduct (official current edition).|Locator Pending|S03|—|Background|High
EV29|Journal Paper|Primary|MacBeth, J.D., Merville, L.J. (1979). An Empirical Examination of the Black-Scholes Call Option Pricing Model. The Journal of Finance.|Vol 34, Issue 5, pp. 1173-1186 [WEB-VERIFIED]|M02|Yes, of Black/Scholes/Merton|Limits (systematic pricing biases found)|High
EV30|Journal Paper (working paper, not peer-reviewed)|Primary|Cline, W.R. (2015). Testing the Modigliani-Miller Theorem of Capital Structure Irrelevance for Banks. Peterson Institute for International Economics, Working Paper 15-8.|WP No. 15-8, April 2015 [WEB-VERIFIED]|T05|Yes, of Modigliani/Miller|Limits (less than half of M&M offset holds for large US banks 2002-13)|Medium (independent think-tank working paper, not peer-reviewed journal)
EV31|Journal Paper|Secondary|Lakonishok, J., Shleifer, A., Vishny, R.W. (1994). Contrarian Investment, Extrapolation, and Risk. The Journal of Finance.|Vol 49, Issue 5, pp. 1541-1578 [WEB-VERIFIED]|FA01|Yes, of Fama/French/Basu|Supports (alternative behavioral explanation)|High
EV32|Journal Paper|Secondary|Fama, E.F., French, K.R. (1998). Value versus Growth: The International Evidence. The Journal of Finance.|Vol 53, Issue 6, pp. 1975-1999. DOI 10.1111/0022-1082.00080 [WEB-VERIFIED]|FA01|No, same authors as EV23; independent OUT-OF-SAMPLE market/period, not independent authorship|Supports (international replication)|High
EV33|Book|Secondary|Qian, E.E., Hua, R.H., Sorensen, E.H. Quantitative Equity Portfolio Management: Modern Techniques and Applications. Chapman & Hall/CRC.|Year Locator Pending — publisher/ISBN confirmed, exact edition year not confirmed [WEB-VERIFIED PARTIAL]|ME07|Yes, of Grinold/Kahn|Supports|Medium (year unconfirmed)
EV35|Journal Paper|Primary|Fama, E.F., MacBeth, J.D. (1973). Risk, Return, and Equilibrium: Empirical Tests. The Journal of Political Economy.|Vol 81, Issue 3, pp. 607-636 [WEB-VERIFIED]|M16;F12|Yes, of Sharpe/Lintner/MM|Supports|High
